employee_scd_id,employee_id,year,status,country,department,last_promotion_date,last_training_date,absenteeism_days,annual_salary,remote_days,last_promotion_range,age_group
202300600,600,2023,Manager,Sweden,Technology & IT Strategy,2023-02-06,2022-12-04,3,72600,76,Less than 1 year,30–39
202300601,601,2023,Non-manager,Sweden,Cybersecurity & Digital Risk,,2022-01-27,7,45300,107,Not available,Under 30
202300602,602,2023,Non-manager,Sweden,Technology & IT Strategy,,,4,60000,113,Not available,40–49
202300603,603,2023,Non-manager,Denmark,Digital Strategy Consulting,,2022-07-31,4,51400,132,Not available,30–39
202300604,604,2023,Manager,Spain,Customer Experience & Design,,,8,50000,107,Not available,Under 30
202300605,605,2023,Non-manager,Sweden,Data & Analytics Consulting,2023-01-10,2023-10-16,4,53500,124,Less than 1 year,30–39
202300606,606,2023,Non-manager,Sweden,Digital Strategy Consulting,2023-11-11,,8,50700,82,Less than 1 year,30–39
202300607,607,2023,Non-manager,Sweden,Finance & Operations,,,4,57500,124,Not available,30–39
202300608,608,2023,Non-manager,Sweden,Customer Experience & Design,,2023-02-24,5,63900,114,Not available,40–49
202300609,609,2023,Manager,Germany,Digital Strategy Consulting,,2023-08-10,1,66300,119,Not available,30–39
202300610,610,2023,Non-manager,Sweden,Digital Strategy Consulting,,,3,89300,79,Not available,50–59
202300611,611,2023,Non-manager,Sweden,Cybersecurity & Digital Risk,2023-07-23,2021-10-21,5,53900,104,Less than 1 year,Under 30
202300612,612,2023,Non-manager,Sweden,Digital Marketing & Growth,2022-02-10,,5,58900,98,1–2 years,30–39
202300613,613,2023,Non-manager,Germany,Data & Analytics Consulting,2021-03-16,2022-12-18,1,53000,81,1–2 years,30–39
202300614,614,2023,Non-manager,Germany,Digital Strategy Consulting,,2022-09-27,5,45100,104,Not available,Under 30
202300615,615,2023,Manager,Sweden,Digital Strategy Consulting,,,8,81400,122,Not available,Under 30
202300616,616,2023,Non-manager,France,Transformation & Change Management,,2023-05-14,4,58400,114,Not available,30–39
202300617,617,2023,Non-manager,Denmark,Digital Strategy Consulting,2021-01-27,2023-08-05,4,100200,141,1–2 years,50–59
202300618,618,2023,Non-manager,Sweden,Customer Experience & Design,2023-06-13,2023-07-20,6,57300,98,Less than 1 year,40–49
202300619,619,2023,Non-manager,France,Digital Marketing & Growth,,2023-12-09,2,32200,96,Not available,30–39
202300620,620,2023,Non-manager,Sweden,Data & Analytics Consulting,,2021-05-09,6,71000,96,Not available,Under 30
202300621,621,2023,Non-manager,Germany,Data & Analytics Consulting,2021-01-12,2021-08-14,3,52000,110,1–2 years,Under 30
202300622,622,2023,Manager,Spain,Data & Analytics Consulting,2021-03-18,,1,80800,121,1–2 years,30–39
202300623,623,2023,Non-manager,Spain,Technology & IT Strategy,2023-01-11,2022-05-06,10,35500,113,Less than 1 year,30–39
202300624,624,2023,Non-manager,Spain,Digital Strategy Consulting,,2021-03-09,3,33400,127,Not available,30–39
202300625,625,2023,Non-manager,Sweden,Digital Strategy Consulting,,2023-10-28,5,40300,135,Not available,Under 30
202300626,626,2023,Non-manager,France,Data & Analytics Consulting,,2022-04-21,5,55800,131,Not available,30–39
202300627,627,2023,Non-manager,Sweden,Finance & Operations,,2023-12-25,3,63200,91,Not available,30–39
202300628,628,2023,Non-manager,Sweden,Digital Strategy Consulting,2023-12-16,2023-03-20,4,38500,122,Less than 1 year,Under 30
202300629,629,2023,Non-manager,Spain,Transformation & Change Management,2020-05-08,2023-12-09,8,46000,134,3–5 years,30–39
202300630,630,2023,Non-manager,Sweden,Finance & Operations,2021-11-22,2022-10-06,2,37700,106,1–2 years,30–39
202300631,631,2023,Non-manager,Germany,Technology & IT Strategy,,2023-08-15,5,62100,87,Not available,30–39
202300632,632,2023,Non-manager,Sweden,Customer Experience & Design,,,4,51000,62,Not available,30–39
202300633,633,2023,Non-manager,Germany,Data & Analytics Consulting,,2022-05-24,2,78900,120,Not available,40–49
202300634,634,2023,Manager,France,Data & Analytics Consulting,2022-05-26,2021-09-07,6,84000,89,1–2 years,Under 30
202300635,635,2023,Non-manager,Sweden,Finance & Operations,2023-04-30,2022-08-01,5,37900,142,Less than 1 year,30–39
202300636,636,2023,Manager,Sweden,Digital Marketing & Growth,,2022-03-14,5,171600,71,Not available,50–59
202300637,637,2023,Manager,Sweden,Digital Marketing & Growth,,2022-11-30,4,194200,84,Not available,50–59
202300638,638,2023,Non-manager,Sweden,Human Resources,2021-11-21,,7,52400,116,1–2 years,Under 30
202300639,639,2023,Non-manager,Germany,Data & Analytics Consulting,,2022-10-15,4,45500,107,Not available,Under 30
202300640,640,2023,Non-manager,France,Cybersecurity & Digital Risk,,2021-11-27,4,51500,112,Not available,30–39
202300641,641,2023,Manager,Sweden,Finance & Operations,2017-08-06,,6,107500,133,6–10 years,Under 30
202300642,642,2023,Manager,Sweden,Digital Strategy Consulting,2021-10-14,2022-04-03,4,85500,98,1–2 years,Under 30
202300643,643,2023,Non-manager,Sweden,Customer Experience & Design,,2023-09-25,4,34600,107,Not available,30–39
202300644,644,2023,Non-manager,Sweden,Transformation & Change Management,,2023-09-30,5,59100,128,Not available,30–39
202300645,645,2023,Non-manager,Sweden,Digital Marketing & Growth,2023-12-10,2022-06-10,7,92100,139,Less than 1 year,40–49
202300646,646,2023,Non-manager,Denmark,Data & Analytics Consulting,2019-07-03,2023-07-31,10,75200,87,3–5 years,30–39
202300647,647,2023,Non-manager,Sweden,Digital Marketing & Growth,,2023-08-06,4,38400,131,Not available,Under 30
202300648,648,2023,Non-manager,Denmark,Finance & Operations,,,5,64400,62,Not available,30–39
202300649,649,2023,Non-manager,France,Data & Analytics Consulting,2022-12-07,2021-09-21,8,49500,136,1–2 years,30–39
202300650,650,2023,Non-manager,Denmark,Sales & Business Development,,2023-02-17,3,55500,121,Not available,30–39
202300651,651,2023,Non-manager,Sweden,Digital Strategy Consulting,2023-01-26,2023-02-18,4,61900,113,Less than 1 year,40–49
202300652,652,2023,Manager,Spain,Data & Analytics Consulting,2023-03-26,2023-09-18,5,60100,116,Less than 1 year,30–39
202300653,653,2023,Manager,Denmark,Customer Experience & Design,2023-02-24,2023-02-12,8,80800,125,Less than 1 year,30–39
202300654,654,2023,Non-manager,Denmark,Sales & Business Development,,,4,49400,115,Not available,Under 30
202300655,655,2023,Non-manager,Germany,Digital Strategy Consulting,,2023-01-08,2,39200,111,Not available,Under 30
202300656,656,2023,Manager,Germany,Finance & Operations,,2021-04-13,5,120300,114,Not available,50–59
202300657,657,2023,Manager,Sweden,Digital Strategy Consulting,,2023-12-29,5,72800,129,Not available,Under 30
202300658,658,2023,Manager,Denmark,Digital Strategy Consulting,2017-07-02,,6,129800,80,6–10 years,40–49
202300659,659,2023,Non-manager,Sweden,Cybersecurity & Digital Risk,2023-06-02,2023-12-23,6,60600,86,Less than 1 year,Under 30
202300660,660,2023,Non-manager,France,Technology & IT Strategy,2022-10-02,2023-04-19,11,48100,157,1–2 years,30–39
202300661,661,2023,Non-manager,France,Digital Marketing & Growth,,2022-05-07,2,31600,105,Not available,30–39
202300662,662,2023,Non-manager,France,Digital Strategy Consulting,2023-12-13,2023-11-12,4,43900,138,Less than 1 year,30–39
202300663,663,2023,Non-manager,Germany,Digital Marketing & Growth,,2023-04-08,5,52800,106,Not available,40–49
202300664,664,2023,Non-manager,Sweden,Transformation & Change Management,2021-12-12,2022-07-18,7,59200,98,1–2 years,30–39
202300665,665,2023,Manager,Denmark,Transformation & Change Management,2022-08-18,2021-04-05,2,118400,98,1–2 years,Under 30
202300666,666,2023,Non-manager,Denmark,Sales & Business Development,2020-12-18,2022-06-18,5,92900,132,3–5 years,30–39
202300667,667,2023,Manager,Spain,Digital Strategy Consulting,,2022-03-22,1,112400,117,Not available,50–59
202300668,668,2023,Non-manager,Sweden,Digital Strategy Consulting,2023-07-12,2023-11-05,3,45500,114,Less than 1 year,Under 30
202300669,669,2023,Manager,Spain,Cybersecurity & Digital Risk,,2023-07-24,3,55800,143,Not available,Under 30
202300670,670,2023,Non-manager,France,Digital Strategy Consulting,2020-12-19,,2,51000,132,3–5 years,30–39
202300671,671,2023,Non-manager,Sweden,Technology & IT Strategy,2023-10-26,2023-07-04,5,40000,123,Less than 1 year,Under 30
202300672,672,2023,Non-manager,Sweden,Transformation & Change Management,2022-04-21,2021-11-02,1,55600,89,1–2 years,30–39
202300673,673,2023,Manager,France,Digital Strategy Consulting,2022-09-27,2021-12-01,9,72700,89,1–2 years,30–39
202300674,674,2023,Non-manager,France,Transformation & Change Management,2022-01-09,2021-03-06,4,51300,122,1–2 years,30–39
202300675,675,2023,Manager,Germany,Data & Analytics Consulting,2023-11-28,2021-08-25,1,92300,114,Less than 1 year,30–39
202300676,676,2023,Non-manager,Sweden,Data & Analytics Consulting,,2021-04-28,6,54800,108,Not available,Under 30
202300677,677,2023,Non-manager,France,Digital Strategy Consulting,,2022-03-11,4,54700,116,Not available,30–39
202300678,678,2023,Non-manager,France,Transformation & Change Management,,2022-08-09,3,67700,147,Not available,30–39
202300679,679,2023,Non-manager,Sweden,Digital Strategy Consulting,2023-02-16,2023-11-14,3,53400,100,Less than 1 year,30–39
202300680,680,2023,Non-manager,France,Digital Strategy Consulting,2023-11-22,2021-08-11,2,50500,110,Less than 1 year,Under 30
202300681,681,2023,Non-manager,Sweden,Finance & Operations,,2022-08-04,12,33300,150,Not available,Under 30
202300682,682,2023,Non-manager,Spain,Customer Experience & Design,,,3,56200,139,Not available,40–49
202300683,683,2023,Non-manager,Sweden,Digital Strategy Consulting,2021-05-10,,5,59300,118,1–2 years,40–49
202300684,684,2023,Non-manager,Denmark,Digital Strategy Consulting,2023-12-05,2023-01-15,2,48000,96,Less than 1 year,30–39
202300685,685,2023,Non-manager,Spain,Data & Analytics Consulting,,2023-12-30,6,28000,115,Not available,Under 30
202300686,686,2023,Non-manager,Spain,Digital Strategy Consulting,2023-02-08,,4,40400,120,Less than 1 year,Under 30
202300687,687,2023,Non-manager,Sweden,Customer Experience & Design,,,4,49000,89,Not available,Under 30
202300688,688,2023,Non-manager,France,Customer Experience & Design,,2023-09-22,5,39000,87,Not available,Under 30
202300689,689,2023,Non-manager,France,Data & Analytics Consulting,,2021-09-11,4,65900,102,Not available,30–39
202300690,690,2023,Non-manager,Spain,Transformation & Change Management,,2022-06-15,5,38100,107,Not available,30–39
202300691,691,2023,Non-manager,Spain,Sales & Business Development,,,9,54800,92,Not available,30–39
202300692,692,2023,Non-manager,Germany,Sales & Business Development,2023-06-05,2023-06-21,7,55400,112,Less than 1 year,30–39
202300693,693,2023,Non-manager,Germany,Technology & IT Strategy,2019-11-25,,1,57500,80,3–5 years,30–39
202300694,694,2023,Manager,France,Transformation & Change Management,2022-10-17,2022-01-24,8,68900,113,1–2 years,30–39
202300695,695,2023,Non-manager,Denmark,Digital Marketing & Growth,,2022-10-03,3,54500,97,Not available,Under 30
202300696,696,2023,Non-manager,Sweden,Customer Experience & Design,2023-10-06,2022-08-02,7,47600,121,Less than 1 year,Under 30
202300697,697,2023,Non-manager,France,Digital Marketing & Growth,,2023-04-09,5,79000,117,Not available,50–59
202300698,698,2023,Non-manager,Sweden,Customer Experience & Design,2023-06-02,2022-03-28,4,56100,80,Less than 1 year,30–39
202300699,699,2023,Non-manager,Sweden,Transformation & Change Management,2023-05-16,,9,54100,106,Less than 1 year,30–39
202300700,700,2023,Manager,Sweden,Finance & Operations,,2023-11-30,4,57200,102,Not available,Under 30
202300701,701,2023,Non-manager,Sweden,Technology & IT Strategy,,2023-09-16,7,79300,113,Not available,40–49
202300702,702,2023,Manager,Sweden,Cybersecurity & Digital Risk,2015-12-15,2023-08-17,4,130400,110,6–10 years,40–49
202300703,703,2023,Manager,Sweden,Human Resources,,2021-06-23,3,116600,94,Not available,40–49
202300704,704,2023,Non-manager,Sweden,Customer Experience & Design,2023-12-26,2023-11-27,4,41500,111,Less than 1 year,Under 30
202300705,705,2023,Manager,Sweden,Transformation & Change Management,2018-08-23,,5,105000,102,3–5 years,40–49
202300706,706,2023,Non-manager,France,Digital Strategy Consulting,2022-10-01,2022-02-17,4,44200,108,1–2 years,30–39
202300707,707,2023,Manager,Germany,Digital Strategy Consulting,2014-09-24,,6,119100,105,6–10 years,30–39
202300708,708,2023,Non-manager,Denmark,Technology & IT Strategy,2023-10-21,2023-08-23,7,85600,105,Less than 1 year,40–49
202300709,709,2023,Manager,France,Finance & Operations,,2021-11-30,1,122700,93,Not available,40–49
202300710,710,2023,Non-manager,Sweden,Finance & Operations,2023-06-29,2023-06-13,6,39700,95,Less than 1 year,30–39
202300711,711,2023,Manager,Sweden,Transformation & Change Management,2019-08-02,2021-04-03,6,113900,91,3–5 years,30–39
202300712,712,2023,Non-manager,Sweden,Finance & Operations,2022-02-19,,3,55300,116,1–2 years,30–39
202300713,713,2023,Non-manager,Sweden,Transformation & Change Management,2022-07-10,2023-09-07,5,54000,129,1–2 years,Under 30
202300714,714,2023,Non-manager,Germany,Data & Analytics Consulting,2020-12-22,2021-01-16,7,51700,114,3–5 years,30–39
202300715,715,2023,Non-manager,Denmark,Digital Marketing & Growth,2022-10-04,2023-12-22,1,40000,106,1–2 years,Under 30
202300716,716,2023,Non-manager,Denmark,Technology & IT Strategy,2022-07-04,2023-10-19,3,43600,142,1–2 years,Under 30
202300717,717,2023,Non-manager,Sweden,Technology & IT Strategy,,2021-03-08,4,61400,126,Not available,Under 30
202300718,718,2023,Manager,Sweden,Technology & IT Strategy,,2023-12-06,5,81200,111,Not available,30–39
202300719,719,2023,Non-manager,France,Technology & IT Strategy,,2023-12-28,2,36400,98,Not available,Under 30
202300720,720,2023,Non-manager,Germany,Sales & Business Development,2022-07-31,2023-05-28,3,64900,121,1–2 years,40–49
202300721,721,2023,Manager,Sweden,Data & Analytics Consulting,2023-11-22,,7,61900,108,Less than 1 year,30–39
202300722,722,2023,Manager,Sweden,Cybersecurity & Digital Risk,2020-03-26,2023-01-15,2,182000,144,3–5 years,40–49
202300723,723,2023,Non-manager,Denmark,Transformation & Change Management,,2023-04-19,5,63100,97,Not available,40–49
202300724,724,2023,Manager,Germany,Data & Analytics Consulting,,2022-02-02,9,131500,107,Not available,50–59
202300725,725,2023,Manager,Germany,Cybersecurity & Digital Risk,,2023-11-13,6,67900,115,Not available,Under 30
202300726,726,2023,Non-manager,Spain,Digital Marketing & Growth,,,4,43000,105,Not available,Under 30
202300727,727,2023,Non-manager,Spain,Digital Strategy Consulting,,,2,64000,119,Not available,30–39
202300728,728,2023,Non-manager,Germany,Transformation & Change Management,,2023-07-12,3,30000,94,Not available,Under 30
202300729,729,2023,Non-manager,Sweden,Customer Experience & Design,2020-08-13,2023-07-26,3,54000,109,3–5 years,30–39
202300730,730,2023,Non-manager,Sweden,Data & Analytics Consulting,,2023-01-24,5,33300,144,Not available,Under 30
202300731,731,2023,Manager,Sweden,Digital Marketing & Growth,2021-07-16,2023-05-03,9,87500,108,1–2 years,Under 30
202300732,732,2023,Non-manager,Sweden,Customer Experience & Design,2020-05-31,2021-08-26,5,57900,147,3–5 years,40–49
202300733,733,2023,Non-manager,Denmark,Technology & IT Strategy,2021-05-30,2023-02-14,10,68600,91,1–2 years,30–39
202300734,734,2023,Manager,Sweden,Sales & Business Development,,2023-09-01,4,126400,88,Not available,30–39
202300735,735,2023,Non-manager,Germany,Transformation & Change Management,,,5,54500,94,Not available,Under 30
202300736,736,2023,Manager,Denmark,Cybersecurity & Digital Risk,2022-09-10,,4,154300,90,1–2 years,40–49
202300737,737,2023,Manager,Sweden,Transformation & Change Management,2022-07-18,2022-11-20,5,82300,112,1–2 years,Under 30
202300738,738,2023,Manager,Sweden,Digital Marketing & Growth,,2023-02-16,4,108700,120,Not available,40–49
202300739,739,2023,Non-manager,Denmark,Data & Analytics Consulting,2023-11-14,2023-04-27,2,53800,118,Less than 1 year,Under 30
202300740,740,2023,Non-manager,Denmark,Human Resources,2023-10-20,2023-07-22,1,49000,126,Less than 1 year,Under 30
202300741,741,2023,Non-manager,Germany,Transformation & Change Management,2021-02-24,,4,95300,107,1–2 years,50–59
202300742,742,2023,Non-manager,Germany,Transformation & Change Management,2021-10-11,2023-02-02,6,51700,110,1–2 years,30–39
202300743,743,2023,Non-manager,France,Data & Analytics Consulting,,2021-09-08,3,42500,123,Not available,Under 30
202300744,744,2023,Non-manager,Spain,Finance & Operations,2022-09-27,2023-10-30,4,31400,126,1–2 years,Under 30
202300745,745,2023,Manager,Sweden,Technology & IT Strategy,,,6,66300,119,Not available,Under 30
202300746,746,2023,Manager,Spain,Digital Marketing & Growth,2019-01-20,2023-06-29,4,62400,83,3–5 years,30–39
202300747,747,2023,Manager,Sweden,Data & Analytics Consulting,,2022-07-25,4,125700,97,Not available,40–49
202300748,748,2023,Non-manager,Spain,Data & Analytics Consulting,2023-09-14,,7,31500,123,Less than 1 year,Under 30
202300749,749,2023,Non-manager,Spain,Technology & IT Strategy,2022-02-09,,9,33600,112,1–2 years,Under 30
202300750,750,2023,Non-manager,Denmark,Cybersecurity & Digital Risk,,,12,100900,121,Not available,30–39
202300751,751,2023,Non-manager,Sweden,Human Resources,,2023-10-16,5,37600,101,Not available,30–39
202300752,752,2023,Non-manager,Sweden,Customer Experience & Design,,2023-03-07,8,39200,93,Not available,30–39
202300753,753,2023,Non-manager,Spain,Finance & Operations,,2022-12-23,4,46800,93,Not available,30–39
202300754,754,2023,Manager,Denmark,Data & Analytics Consulting,,2022-08-05,7,111600,94,Not available,Under 30
202300755,755,2023,Non-manager,Sweden,Transformation & Change Management,,,1,79200,85,Not available,40–49
202300756,756,2023,Non-manager,Denmark,Digital Marketing & Growth,,2022-05-12,7,57100,119,Not available,30–39
202300757,757,2023,Manager,Sweden,Transformation & Change Management,2022-03-21,2022-04-12,6,78500,88,1–2 years,Under 30
202300758,758,2023,Non-manager,Sweden,Digital Strategy Consulting,2023-12-20,2021-07-23,2,50400,122,Less than 1 year,30–39
202300759,759,2023,Manager,Sweden,Digital Strategy Consulting,,2021-09-24,8,135700,120,Not available,50–59
202300760,760,2023,Non-manager,Spain,Sales & Business Development,,2021-05-01,6,43200,85,Not available,30–39
202300761,761,2023,Non-manager,France,Transformation & Change Management,,2023-07-06,6,34100,117,Not available,Under 30
202300762,762,2023,Non-manager,Sweden,Cybersecurity & Digital Risk,2021-10-22,2023-05-26,6,62600,94,1–2 years,30–39
202300763,763,2023,Manager,Sweden,Digital Strategy Consulting,,2023-09-01,3,68200,90,Not available,30–39
202300764,764,2023,Manager,Spain,Human Resources,2015-02-08,2023-11-03,6,90300,119,6–10 years,40–49
202300765,765,2023,Non-manager,France,Sales & Business Development,2022-09-17,,6,45500,103,1–2 years,30–39
202300766,766,2023,Non-manager,France,Data & Analytics Consulting,2022-11-03,2022-08-19,1,42600,127,1–2 years,Under 30
202300767,767,2023,Non-manager,Sweden,Transformation & Change Management,2019-07-19,2023-12-20,6,56000,140,3–5 years,30–39
202300768,768,2023,Non-manager,Germany,Digital Strategy Consulting,2022-12-22,2022-09-30,3,37300,101,1–2 years,Under 30
202300769,769,2023,Non-manager,Denmark,Transformation & Change Management,2023-08-13,,9,34400,133,Less than 1 year,Under 30
202300770,770,2023,Non-manager,Sweden,Customer Experience & Design,2022-10-29,2023-06-19,3,56600,91,1–2 years,40–49
202300771,771,2023,Non-manager,Spain,Transformation & Change Management,2021-03-28,,13,43100,100,1–2 years,30–39
202300772,772,2023,Non-manager,Spain,Digital Strategy Consulting,,2023-06-01,6,71900,137,Not available,50–59
202300773,773,2023,Non-manager,Denmark,Data & Analytics Consulting,2023-09-03,2022-10-11,7,46300,111,Less than 1 year,Under 30
202300774,774,2023,Non-manager,Denmark,Digital Marketing & Growth,2023-01-16,2023-07-18,4,66600,120,Less than 1 year,Under 30
202300775,775,2023,Non-manager,Sweden,Digital Marketing & Growth,,,8,57100,115,Not available,30–39
202300776,776,2023,Non-manager,Sweden,Data & Analytics Consulting,,2023-12-19,8,41900,91,Not available,Under 30
202300777,777,2023,Non-manager,Denmark,Data & Analytics Consulting,,,4,76400,85,Not available,30–39
202300778,778,2023,Non-manager,Sweden,Digital Strategy Consulting,,,3,85600,113,Not available,40–49
202300779,779,2023,Non-manager,Spain,Technology & IT Strategy,2022-12-03,,3,39400,99,1–2 years,30–39
202300780,780,2023,Non-manager,Spain,Sales & Business Development,2021-09-23,2023-08-10,3,38300,103,1–2 years,30–39
202300781,781,2023,Non-manager,Germany,Customer Experience & Design,,,1,66100,141,Not available,30–39
202300782,782,2023,Manager,Sweden,Technology & IT Strategy,2022-03-01,2021-07-08,5,97800,131,1–2 years,40–49
202300783,783,2023,Non-manager,Denmark,Technology & IT Strategy,2022-07-04,2022-11-19,3,55200,89,1–2 years,30–39
202300784,784,2023,Manager,Sweden,Digital Strategy Consulting,,,5,53200,85,Not available,30–39
202300785,785,2023,Manager,Germany,Transformation & Change Management,,2021-11-24,5,76700,123,Not available,30–39
202300786,786,2023,Manager,Denmark,Technology & IT Strategy,,2022-07-22,2,149700,121,Not available,40–49
202300787,787,2023,Non-manager,Germany,Sales & Business Development,2022-12-31,2023-04-25,3,55800,131,Less than 1 year,30–39
202300788,788,2023,Non-manager,Germany,Data & Analytics Consulting,,2022-12-07,2,70400,79,Not available,40–49
202300789,789,2023,Non-manager,Sweden,Cybersecurity & Digital Risk,2018-11-05,,13,81300,97,3–5 years,50–59
202300790,790,2023,Non-manager,Germany,Digital Strategy Consulting,2021-12-08,2022-10-17,5,53400,97,1–2 years,30–39
202300791,791,2023,Non-manager,France,Customer Experience & Design,2022-08-16,2023-07-31,5,47700,132,1–2 years,Under 30
202300792,792,2023,Non-manager,Sweden,Customer Experience & Design,2023-06-21,2022-05-30,7,42800,102,Less than 1 year,Under 30
202300793,793,2023,Non-manager,Spain,Data & Analytics Consulting,2023-12-20,2023-03-02,2,30400,123,Less than 1 year,30–39
202300794,794,2023,Non-manager,Germany,Data & Analytics Consulting,,2023-12-18,3,39200,125,Not available,Under 30
202300795,795,2023,Manager,Sweden,Digital Strategy Consulting,2022-03-05,,7,93600,113,1–2 years,30–39
202300796,796,2023,Manager,Sweden,Sales & Business Development,2022-11-28,2023-07-07,5,99700,93,1–2 years,40–49
202300797,797,2023,Non-manager,Sweden,Transformation & Change Management,2022-05-06,2022-01-24,3,45000,88,1–2 years,30–39
202300798,798,2023,Non-manager,Germany,Data & Analytics Consulting,2023-07-29,2023-04-09,6,34600,79,Less than 1 year,Under 30
202300799,799,2023,Manager,Sweden,Technology & IT Strategy,,2022-05-23,2,87400,101,Not available,30–39
202300800,800,2023,Manager,Denmark,Digital Strategy Consulting,2021-04-13,2022-07-06,3,89800,134,1–2 years,30–39
202300801,801,2023,Non-manager,Sweden,Digital Strategy Consulting,,2021-06-24,3,47700,122,Not available,30–39
202300802,802,2023,Non-manager,Germany,Digital Marketing & Growth,2022-08-18,2022-05-13,6,49100,122,1–2 years,30–39
202300803,803,2023,Non-manager,Germany,Digital Marketing & Growth,2023-12-08,2023-05-07,6,38500,79,Less than 1 year,Under 30
202300804,804,2023,Non-manager,Denmark,Customer Experience & Design,,2022-12-05,5,64100,97,Not available,30–39
202300805,805,2023,Non-manager,Germany,Technology & IT Strategy,2019-04-17,,6,80200,146,3–5 years,50–59
202300806,806,2023,Non-manager,Spain,Digital Marketing & Growth,2023-10-31,2023-03-18,4,34000,111,Less than 1 year,30–39
202300807,807,2023,Non-manager,Spain,Technology & IT Strategy,,2022-01-18,7,51700,98,Not available,30–39
202300808,808,2023,Non-manager,Sweden,Finance & Operations,,2021-07-17,1,58200,88,Not available,Under 30
202300809,809,2023,Non-manager,Spain,Cybersecurity & Digital Risk,,2023-08-10,3,33100,102,Not available,Under 30
202300810,810,2023,Manager,Denmark,Customer Experience & Design,2019-12-30,2021-08-12,5,154300,100,3–5 years,50–59
202300811,811,2023,Manager,France,Cybersecurity & Digital Risk,,,7,136300,125,Not available,40–49
202300812,812,2023,Non-manager,Sweden,Transformation & Change Management,,2023-04-07,3,54600,76,Not available,30–39
202300813,813,2023,Non-manager,Sweden,Digital Marketing & Growth,,2023-01-19,5,74100,113,Not available,40–49
202300814,814,2023,Non-manager,Sweden,Digital Strategy Consulting,2023-03-28,,10,58500,89,Less than 1 year,30–39
202300815,815,2023,Manager,Sweden,Customer Experience & Design,2020-10-09,2022-05-02,14,84500,116,3–5 years,Under 30
202300816,816,2023,Non-manager,Denmark,Human Resources,2023-11-09,2023-12-03,5,33500,114,Less than 1 year,Under 30
202300817,817,2023,Non-manager,Spain,Digital Marketing & Growth,,2022-06-17,6,44300,102,Not available,Under 30
202300818,818,2023,Non-manager,France,Data & Analytics Consulting,2018-07-22,2022-01-04,4,66800,100,3–5 years,40–49
202300819,819,2023,Manager,Sweden,Data & Analytics Consulting,2023-03-01,2023-09-06,6,78700,99,Less than 1 year,30–39
202300820,820,2023,Non-manager,Sweden,Human Resources,,2023-02-24,3,41600,109,Not available,30–39
202300821,821,2023,Non-manager,Spain,Transformation & Change Management,,2023-09-15,3,28000,125,Not available,30–39
202300822,822,2023,Manager,Spain,Transformation & Change Management,,2021-11-05,3,94400,141,Not available,50–59
202300823,823,2023,Non-manager,Sweden,Data & Analytics Consulting,,,1,30000,143,Not available,Under 30
202300824,824,2023,Non-manager,Sweden,Human Resources,2022-10-12,2023-12-27,6,62800,146,1–2 years,30–39
202300825,825,2023,Manager,Sweden,Transformation & Change Management,2023-10-17,2023-07-10,4,67100,74,Less than 1 year,30–39
202300826,826,2023,Manager,France,Technology & IT Strategy,2019-09-24,2022-08-19,5,116300,85,3–5 years,30–39
202300827,827,2023,Manager,Denmark,Sales & Business Development,,2023-08-03,8,99600,129,Not available,30–39
202300828,828,2023,Non-manager,Germany,Digital Marketing & Growth,2019-01-07,2021-10-28,3,73700,131,3–5 years,40–49
202300829,829,2023,Manager,Sweden,Customer Experience & Design,2022-10-31,,4,116200,96,1–2 years,40–49
202300830,830,2023,Non-manager,Germany,Digital Strategy Consulting,,2023-05-03,4,46800,100,Not available,30–39
202300831,831,2023,Non-manager,Sweden,Finance & Operations,,2023-09-27,3,34400,101,Not available,Under 30
202300832,832,2023,Non-manager,Sweden,Finance & Operations,2021-12-29,2023-07-27,3,50200,139,1–2 years,30–39
202300833,833,2023,Manager,France,Customer Experience & Design,2020-10-21,2023-01-14,3,86400,97,3–5 years,Under 30
202300834,834,2023,Manager,Sweden,Cybersecurity & Digital Risk,,,2,105800,105,Not available,30–39
202300835,835,2023,Non-manager,Sweden,Technology & IT Strategy,2023-01-02,,2,49400,106,Less than 1 year,30–39
202300836,836,2023,Non-manager,France,Human Resources,2022-11-14,2022-09-30,4,32600,112,1–2 years,30–39
202300837,837,2023,Non-manager,Denmark,Data & Analytics Consulting,,,8,47300,106,Not available,Under 30
202300838,838,2023,Manager,Denmark,Transformation & Change Management,,2023-02-25,8,90700,99,Not available,Under 30
202300839,839,2023,Non-manager,Spain,Sales & Business Development,2023-08-10,2023-02-11,5,32100,98,Less than 1 year,30–39
202300840,840,2023,Non-manager,Sweden,Sales & Business Development,2021-12-03,2023-09-04,4,44700,148,1–2 years,30–39
202300841,841,2023,Manager,Spain,Digital Strategy Consulting,2019-09-16,2023-07-19,5,68900,107,3–5 years,30–39
202300842,842,2023,Non-manager,Sweden,Digital Marketing & Growth,,2023-08-15,7,45200,106,Not available,Under 30
202300843,843,2023,Non-manager,Spain,Transformation & Change Management,,2023-06-12,4,31500,112,Not available,30–39
202300844,844,2023,Manager,Sweden,Transformation & Change Management,2022-03-12,2022-01-03,3,91300,107,1–2 years,40–49
202300845,845,2023,Non-manager,Sweden,Finance & Operations,2020-11-30,2023-12-25,4,82100,123,3–5 years,40–49
202300846,846,2023,Non-manager,Sweden,Digital Marketing & Growth,2023-07-27,2023-11-13,6,42600,79,Less than 1 year,30–39
